Gün,Tüm kişiler,AB,20+ABC1
11 Mart,6.46,5.93,6.46
18 Mart,5.35,6.29,7.3
25 Mart,4.07,4.45,4.78
1 Nisan,0,0,0
8 Nisan,4.21,5.3,4.85
15 Nisan,4.15,5.86,5.07
22 Nisan,3.55,4.44,4.18
