Gün,Tüm kişiler,AB,20+ABC1
8 Mart,4.52,2.87,3.85
15 Mart,4.04,2.44,3.26
22 Mart,4.17,2.93,3.51
29 Mart,0,0,0
5 Nisan,0,0,0
12 Nisan,3.92,2.6,3.06
19 Nisan,3.89,3.89,3.48
