Gün,Tüm kişiler,AB,20+ABC1
7 mart,9.1,11.32,11.83
14 mart,8.91,10.49,11.23
21 mart,8.54,10.16,10.16
28 mart,7.94,9.22,9.67
4 Nisan,9.16,10.77,11.32
11 Nisan,9.5,11.36,12.07
18 Nisan,9.6,10.11,10.9
