Gün,Tüm kişiler,AB,20+ABC1
6 mart,5.83,3.07,3.8
13 mart,5.97,3.43,4.44
20 mart,5.64,2.93,3.98
27 mart,5.63,3.28,4.54
3 nisan,0,0,0
10 nisan,6.36,3.06,4.86
17 nisan,6.01,3.55,4.82
24 nisan,4.33,2.75,4.33
