Gün,Tüm kişiler,AB,20+ABC1
5 Mart,8.83,8.83,8.19
12 Mart,8.27,3.77,5.91
19 Mart,8.63,4.34,5.12
26 Mart,7.05,3.05,4.57
2 Nisan,2.71,0,0
9 Nisan,8.89,3.96,6.27
16 Nisan,4.51,3.9,5.58
23 Nisan,7.79,3.33,5.1
