Day,All People,AB,20+ABC1
8 March,4.52,2.87,3.85
15 March,4.04,2.44,3.26
22 March,4.17,2.93,3.51
29 March,0,0,0
5 April,0,0,0
12 April,3.92,2.6,3.06
19 April,3.89,3.89,3.48
