Day,All People,AB,20+ABC1
2025-03-05,8.83,8.83,8.19
2025-03-12,8.27,3.77,5.91
2025-03-19,8.63,4.34,5.12
2025-03-26,7.05,3.05,4.57
2025-04-02,2.71,0.0,0.0
2025-04-09,8.89,3.96,6.27
2025-04-16,4.51,3.9,5.58
2025-04-23,7.79,3.33,5.1
