Day,All People,AB,20+ABC1
2025-03-09,3.65,4.89,4.88
2025-03-16,3.48,4.59,4.76
2025-03-23,2.99,3.61,3.48
2025-03-30,1.79,1.84,2.23
2025-04-06,2.89,3.39,3.4
2025-04-13,3.81,3.81,4.55
2025-04-20,3.81,2.06,1.98
