Day,All People,AB,20+ABC1
2025-03-06,5.83,3.07,3.8
2025-03-13,5.97,3.43,4.44
2025-03-20,5.64,2.93,3.98
2025-03-27,5.63,3.28,4.54
2025-04-03,5.995,0.0,0.0
2025-04-10,6.36,3.06,4.86
2025-04-17,6.01,3.55,4.82
2025-04-24,4.33,2.75,4.33
