Day,All People,AB,20+ABC1
11 March,6.46,5.93,6.46
18 March,5.35,6.29,7.3
25 March,4.07,4.45,4.78
01 April,4.140000000000001,0.0,0.0
08 April,4.21,5.3,4.85
15 April,4.15,5.86,5.07
22 April,3.55,4.44,4.18
